orgName,orgEmail,orgPassword,orgDesc,orgAddress,orgRegNo,orgContact,orgImg
IEEE,org1@vms.lk,5f4dcc3b5aa765d61d8327deb882cf99,A global professional association for advancing technology,123 Tech Park,ORG1234567,0771234561,default/org.png
ZeroPlastic,org2@vms.lk,5f4dcc3b5aa765d61d8327deb882cf99,An organization dedicated to eliminating plastic waste,456 Eco Road,ORG1234568,0771234562,default/org.png
Aisec,org3@vms.lk,5f4dcc3b5aa765d61d8327deb882cf99,A youth-run organization providing leadership development opportunities,789 Global St,ORG1234569,0771234563,default/org.png
UN,org4@vms.lk,5f4dcc3b5aa765d61d8327deb882cf99,An international organization fostering global cooperation,101 Peace Ave,ORG1234570,0771234564,default/org.png
Red Cross,org5@vms.lk,5f4dcc3b5aa765d61d8327deb882cf99,An organization providing emergency assistance and disaster relief,202 Relief Blvd,ORG1234571,0771234565,default/org.png
Tech Innovators,org6@vms.lk,5f4dcc3b5aa765d61d8327deb882cf99,A group focused on fostering innovation in technology,303 Startup Lane,ORG1234572,0771234566,default/org.png
Green Earth,org7@vms.lk,5f4dcc3b5aa765d61d8327deb882cf99,A nonprofit organization promoting environmental sustainability,404 Nature Dr,ORG1234573,0771234567,default/org.png
Youth for Change,org8@vms.lk,5f4dcc3b5aa765d61d8327deb882cf99,An organization empowering young leaders to make social impact,505 Future Rd,ORG1234574,0771234568,default/org.png
Health & Hope,org9@vms.lk,5f4dcc3b5aa765d61d8327deb882cf99,A charity organization providing healthcare in underprivileged areas,606 Wellness Way,ORG1234575,0771234569,default/org.png
Innovate Tomorrow,org10@vms.lk,5f4dcc3b5aa765d61d8327deb882cf99,An organization supporting innovation and entrepreneurship,707 Visionary St,ORG1234576,0771234570,default/org.png
